Week_Start,Year,Month,Quarter,Year_Week
2022-01-03,2022,1,1,2022-W01
2022-01-10,2022,1,1,2022-W02
2022-01-17,2022,1,1,2022-W03
2022-01-24,2022,1,1,2022-W04
2022-01-31,2022,1,1,2022-W05
2022-02-07,2022,2,1,2022-W06
2022-02-14,2022,2,1,2022-W07
2022-02-21,2022,2,1,2022-W08
2022-02-28,2022,2,1,2022-W09
2022-03-07,2022,3,1,2022-W10
2022-03-14,2022,3,1,2022-W11
2022-03-21,2022,3,1,2022-W12
2022-03-28,2022,3,1,2022-W13
2022-04-04,2022,4,2,2022-W14
2022-04-11,2022,4,2,2022-W15
2022-04-18,2022,4,2,2022-W16
2022-04-25,2022,4,2,2022-W17
2022-05-02,2022,5,2,2022-W18
2022-05-09,2022,5,2,2022-W19
2022-05-16,2022,5,2,2022-W20
2022-05-23,2022,5,2,2022-W21
2022-05-30,2022,5,2,2022-W22
2022-06-06,2022,6,2,2022-W23
2022-06-13,2022,6,2,2022-W24
2022-06-20,2022,6,2,2022-W25
2022-06-27,2022,6,2,2022-W26
2022-07-04,2022,7,3,2022-W27
2022-07-11,2022,7,3,2022-W28
2022-07-18,2022,7,3,2022-W29
2022-07-25,2022,7,3,2022-W30
2022-08-01,2022,8,3,2022-W31
2022-08-08,2022,8,3,2022-W32
2022-08-15,2022,8,3,2022-W33
2022-08-22,2022,8,3,2022-W34
2022-08-29,2022,8,3,2022-W35
2022-09-05,2022,9,3,2022-W36
2022-09-12,2022,9,3,2022-W37
2022-09-19,2022,9,3,2022-W38
2022-09-26,2022,9,3,2022-W39
2022-10-03,2022,10,4,2022-W40
2022-10-10,2022,10,4,2022-W41
2022-10-17,2022,10,4,2022-W42
2022-10-24,2022,10,4,2022-W43
2022-10-31,2022,10,4,2022-W44
2022-11-07,2022,11,4,2022-W45
2022-11-14,2022,11,4,2022-W46
2022-11-21,2022,11,4,2022-W47
2022-11-28,2022,11,4,2022-W48
2022-12-05,2022,12,4,2022-W49
2022-12-12,2022,12,4,2022-W50
2022-12-19,2022,12,4,2022-W51
2022-12-26,2022,12,4,2022-W52
2023-01-02,2023,1,1,2023-W01
2023-01-09,2023,1,1,2023-W02
2023-01-16,2023,1,1,2023-W03
2023-01-23,2023,1,1,2023-W04
2023-01-30,2023,1,1,2023-W05
2023-02-06,2023,2,1,2023-W06
2023-02-13,2023,2,1,2023-W07
2023-02-20,2023,2,1,2023-W08
2023-02-27,2023,2,1,2023-W09
2023-03-06,2023,3,1,2023-W10
2023-03-13,2023,3,1,2023-W11
2023-03-20,2023,3,1,2023-W12
2023-03-27,2023,3,1,2023-W13
2023-04-03,2023,4,2,2023-W14
2023-04-10,2023,4,2,2023-W15
2023-04-17,2023,4,2,2023-W16
2023-04-24,2023,4,2,2023-W17
2023-05-01,2023,5,2,2023-W18
2023-05-08,2023,5,2,2023-W19
2023-05-15,2023,5,2,2023-W20
2023-05-22,2023,5,2,2023-W21
2023-05-29,2023,5,2,2023-W22
2023-06-05,2023,6,2,2023-W23
2023-06-12,2023,6,2,2023-W24
2023-06-19,2023,6,2,2023-W25
2023-06-26,2023,6,2,2023-W26
2023-07-03,2023,7,3,2023-W27
2023-07-10,2023,7,3,2023-W28
2023-07-17,2023,7,3,2023-W29
2023-07-24,2023,7,3,2023-W30
2023-07-31,2023,7,3,2023-W31
2023-08-07,2023,8,3,2023-W32
2023-08-14,2023,8,3,2023-W33
2023-08-21,2023,8,3,2023-W34
2023-08-28,2023,8,3,2023-W35
2023-09-04,2023,9,3,2023-W36
2023-09-11,2023,9,3,2023-W37
2023-09-18,2023,9,3,2023-W38
2023-09-25,2023,9,3,2023-W39
2023-10-02,2023,10,4,2023-W40
2023-10-09,2023,10,4,2023-W41
2023-10-16,2023,10,4,2023-W42
2023-10-23,2023,10,4,2023-W43
2023-10-30,2023,10,4,2023-W44
2023-11-06,2023,11,4,2023-W45
2023-11-13,2023,11,4,2023-W46
2023-11-20,2023,11,4,2023-W47
2023-11-27,2023,11,4,2023-W48
2023-12-04,2023,12,4,2023-W49
2023-12-11,2023,12,4,2023-W50
2023-12-18,2023,12,4,2023-W51
2023-12-25,2023,12,4,2023-W52
2024-01-01,2024,1,1,2024-W01
2024-01-08,2024,1,1,2024-W02
2024-01-15,2024,1,1,2024-W03
2024-01-22,2024,1,1,2024-W04
2024-01-29,2024,1,1,2024-W05
2024-02-05,2024,2,1,2024-W06
2024-02-12,2024,2,1,2024-W07
2024-02-19,2024,2,1,2024-W08
2024-02-26,2024,2,1,2024-W09
2024-03-04,2024,3,1,2024-W10
2024-03-11,2024,3,1,2024-W11
2024-03-18,2024,3,1,2024-W12
2024-03-25,2024,3,1,2024-W13
2024-04-01,2024,4,2,2024-W14
2024-04-08,2024,4,2,2024-W15
2024-04-15,2024,4,2,2024-W16
2024-04-22,2024,4,2,2024-W17
2024-04-29,2024,4,2,2024-W18
2024-05-06,2024,5,2,2024-W19
2024-05-13,2024,5,2,2024-W20
2024-05-20,2024,5,2,2024-W21
2024-05-27,2024,5,2,2024-W22
2024-06-03,2024,6,2,2024-W23
2024-06-10,2024,6,2,2024-W24
2024-06-17,2024,6,2,2024-W25
2024-06-24,2024,6,2,2024-W26
2024-07-01,2024,7,3,2024-W27
2024-07-08,2024,7,3,2024-W28
2024-07-15,2024,7,3,2024-W29
2024-07-22,2024,7,3,2024-W30
2024-07-29,2024,7,3,2024-W31
2024-08-05,2024,8,3,2024-W32
2024-08-12,2024,8,3,2024-W33
2024-08-19,2024,8,3,2024-W34
2024-08-26,2024,8,3,2024-W35
2024-09-02,2024,9,3,2024-W36
2024-09-09,2024,9,3,2024-W37
2024-09-16,2024,9,3,2024-W38
2024-09-23,2024,9,3,2024-W39
2024-09-30,2024,9,3,2024-W40
2024-10-07,2024,10,4,2024-W41
2024-10-14,2024,10,4,2024-W42
2024-10-21,2024,10,4,2024-W43
2024-10-28,2024,10,4,2024-W44
2024-11-04,2024,11,4,2024-W45
2024-11-11,2024,11,4,2024-W46
2024-11-18,2024,11,4,2024-W47
2024-11-25,2024,11,4,2024-W48
2024-12-02,2024,12,4,2024-W49
2024-12-09,2024,12,4,2024-W50
2024-12-16,2024,12,4,2024-W51
2024-12-23,2024,12,4,2024-W52
